MetricLabel,Definition,Formula,Dimension,Source
"Trustworthiness of statements,
datasets and rules","Using trust ontologies that assigns trust values that can be transferred
from known to unknown data using: (i) content-based methods (from
content or rules) and (ii) metadata-based methods (based on reputation
assignments, user ratings, and provenance, rather than the content it-
self).",,Trustworthiness,ZAVERI
Trustworthiness of a resource ,"Computing trust values between two entities through a path by using: (i) a
propagation algorithm based on statistical techniques (ii) in case there
are several paths, trust values from all paths are aggregated based on a
weighting mechanism.",,Trustworthiness,ZAVERI
Trustworthiness of the information provider,"Computing trustworthiness of the information provider by: (i) construc-
tion of decision networks informed by provenance graphs (ii) check-
ing whether the provider/contributor is contained in a list of trusted
providers (iii) indicating the level of trust for the publisher on a scale of 1–9.",,Trustworthiness,ZAVERI
Trustworthiness of information provided (content trust),"Checking content trust based on associations (e.g. anything having a re-
lationship to a resource such as author of the dataset) that transfers trust
from content to resources.",,Trustworthiness,ZAVERI
Reputation of the dataset ,"Assignment of explicit trust ratings to the dataset by humans or analyzing
external links or page ranks.",,Trustworthiness,ZAVERI
"Human-readable labelling of
classes, properties and entities as well as presence of
metadata","Detection of human-readable labelling of classes, properties and entities
as well as indication of metadata (e.g. name, description, website) of a
dataset.",,Understandability,ZAVERI
Indication of one or more exemplary URIs,Detect whether the pattern of the URIs is provided.,,Understandability,ZAVERI
"indication of a regular expression that matches the URIs of
a dataset",Detect whether a regular expression that matches the URIs is present.,,Understandability,ZAVERI
"indication of an exemplary
SPARQL query",Detect whether examples of SPARQL queries are provided.,,Understandability,ZAVERI
"indication of the vocabularies
used in the dataset","Checking whether a list of vocabularies used in the dataset is pro-
vided",,Understandability,ZAVERI
Provision of message boards and mailing lists,Checking the effectiveness and the efficiency of the usage of the mailing list and/or the message boards.,,Understandability,ZAVERI
Freshness of datasets based on currnecy and volatility ,"Max {0, 1 (−currency / volatility)}, which gives a value in a continuous scale from 0 to 1, where score of 1 implies that the data is timely and 0 means it is completely outdated thus unacceptable. In the formula, volatility is the length of time the data remains valid and currency is the age of the data when delivered to the user.",,Timeliness,ZAVERI
Freshness of datasets based on their data source ,"Detecting freshness of datasets based on their data source by measuring the distance between last modiﬁed time of the data source and last modiﬁed time of the dataset.
",,Timeliness,ZAVERI
Keeping URIs short ,Detection of long URIs or those that contain query parameter.,,"Representational-
conciseness",ZAVERI
No use of prolix RDF features ,"Detection of RDF primitives i.e. RDF reification, RDF containers and
RDF collections.",,"Representational-
conciseness",ZAVERI
Re-use of existing terms ,"Detection of whether existing terms from all relevant vocabularies for
that particular domain have been reused.",,Interoperability,ZAVERI
Re-use of existing vocabularies ,Usage of relevant vocabularies for that particular domain.,,Interoperability,ZAVERI
Use of self-descriptive formats ,"Identifying objects and terms used to define these objects with globally
unique identifiers.",,Interpretability,ZAVERI
"Detecting the interpretability of
data","Detecting the use of appropriate language, symbols, units, datatypes
and clear definitions.",,Interpretability,ZAVERI
"Invalid usage of undefined
classes and properties","Detection of invalid usage of undefined classes and properties (i.e. those
without any formal definition).",,Interpretability,ZAVERI
"No misinterpretation of missing
values",Detecting the use of blank nodes.,,Interpretability,ZAVERI
Provision of the data in different serialization formats,"Checking whether data is available in different serialization for-
mats.",,Versatility,ZAVERI
Provision of the data in various languages,Checking whether data is available in different languages.,,Versatility,ZAVERI
Compliance cost ,Estimated financial cost to business of not keeping data for compliance/regulation purposes.,,Financial,IEEE
Fixed record value,A count of records (see data volume metrics) with a fixed value per record can be used.,,Financial,IEEE
IP value,For intellectual property data assets whose value is directly proportional to its financial value (e.g. licences or patents.,,Financial,IEEE
Maintenance cost ,"Estimated financial cost to business of maintaining, adapting or curating data.",,Financial,IEEE
Market price ,"Price that a user will accept for data, sometimes in return for a specific service.",,Financial,IEEE
Replacement cost ,"Estimated financial cost to create, replace or reproduce this data.",,Financial,IEEE
Revenue loss,"Estimated financial cost to business of not having access to data [56, 62] or a service based on observations in the data.",,Financial,IEEE
Rival access loss ,Estimated financial cost to business of competitors having access to data.,,Financial,IEEE
Storage cost ,Estimated financial cost to business of storing data.,,Financial,IEEE
Camera resolution,For visual sensors a measure of the potential accuracy of sensor readings from a specific source.,,Content-Uniqueness,IEEE
Customer lifetime value,"Data records that describe or refer to specific customers, for example business transactions with that customer, may be weighted. Typically used with count of records.",,Content-Uniqueness,IEEE
Field value ,The financial amount of a transaction recorded in a field of a data record may be used as a weight for the value of that record. Typically used with count of records ,,Content-Uniqueness,IEEE
Image quality,"An estimate of the quality of an image based on camera type (smartphone type), brightness, contrast, resolution, noise, and exposition.",,Content-Uniqueness,IEEE
Data information entropy ,A measure of the uniqueness of data in the dataset.,,Content-Uniqueness,IEEE
Event information measure ,"By classifying the contents of an image or sensor reading to a set of events with known probabilities, can calculate the information measure of the image containing a specific event. Alternatively specify a Fisher Information Matrix (FIM) based metric.",,Content-Uniqueness,IEEE
KNN Shapley value ,For K-nearest neighbours classifier algorithms Jia et al. provide an efficient Monte Carlo method to calculate the Shapley value of the KNN utility of each data point.,,Content-Uniqueness,IEEE
Lexical semantic uniqueness ,A measure of the fraction of most unique words in a file compared to the contents of the whole collection.,,Content-Uniqueness,IEEE
Mutual information ,A qualification of the inferential gain by increasing the size or features of data when comparing two datasets.,,Content-Uniqueness,IEEE
Scarcity ,The probability that other organisations (particularly competitors and partners) have the same data.,,Content-Uniqueness,IEEE
Access interval ,A time series measure weighted towards data most recently created.,,Usage,IEEE
Frequency,An access time series measure based on how often data is read and written to.,,Usage,IEEE
Number of accesses ,A measure of the degree of usage [22]. Moody et al. suggest this metric.,,Usage,IEEE
Potential user count ,"An estimate of the number of similar users in the system compared to the ones that have accessed the data, that are hence likely to also access the data",,Usage,IEEE
Purpose,A measure of the significance of the type of usage.,,Usage,IEEE
Read write profile ,"Data valuation based on read and write granularity, data distribution, and data association.",,Usage,IEEE
Recency,"A specialised time-based metric to capture when data was last used, defined by.",,Usage,IEEE
User count ,"Called the number of visits by Qiu et al., the number of unique users that access the data.",,Usage,IEEE
User role ,Indicates user role is a measure of the significance of the usage. ,,Usage,IEEE
Usage over time ,A quantification of value based on the usage of the data over time.,,Usage,IEEE
Fidelity,Usefulness of sample data for a given inferential task.,,Utility,IEEE
Goods condition ,"For end of life processing (recycle, parts reuse, product reuse) need estimate of goods condition.",,Utility,IEEE
Market price ,"Price that a user will accept for data, sometimes in return for a specific service.",,Utility,IEEE
nKudos ,Number of approvals (“kudos”) given to a message by the community.,,Utility,IEEE
Personal data differential price ,"A measure that calculates the relative utility of a dataset by comparing the differences between original data of
a personal nature, and an obfuscated version of the same data.",,Utility,IEEE
Provider assessment ,An assessment of the value of a data item by the provider of that data.,,Utility,IEEE
Relevancy ,"The number of business processes that use, or could benefit from this data.",,Utility,IEEE
Revenue ,Revenue increases or decreases with or without access to the data.,,Utility,IEEE
Rival access loss ,Estimated financial cost to business of competitors having access to data.,,Utility,IEEE
Service outcome ,Reduced or improved service outcomes with or without access to the data.,,Utility,IEEE
Safety distance ,For vehicular sensors a measure of the distance where sensor readings become increasingly important.,,Utility,IEEE
User assessment ,An assessment of the value of a data item by the user of that data after consuming it.,,Utility,IEEE
User priority ,Priority given to a data item by a specific user.,,Utility,IEEE
